,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000001.XSHE,000001,平安银行,XSHE,2021-01-04,19.34,19.34,19.1,19.1,18.44,18.6,155421643,2891682312.05,119328,0.008,0.9921976328,360947000220,360950078520,-0.0383,13.3824,12.0865,1.0061,1,18.605
1,000001.XSHE,000001,平安银行,XSHE,2021-01-05,18.6,18.6,18.4,18.48,17.8,18.17,182135210,3284606913.91,187364,0.0094,0.9921976328,352602526559,352605533694,-0.0231,13.073,11.807,0.9828,1,18.034
2,000001.XSHE,000001,平安银行,XSHE,2021-01-06,18.17,18.17,18.08,19.56,18.0,19.56,193494512,3648521909.1,154714,0.01,0.9921976328,379576522812,379579759992,0.0765,14.0731,12.7103,1.058,1,18.856
3,000001.XSHE,000001,平安银行,XSHE,2021-01-07,19.56,19.56,19.52,19.98,19.23,19.9,158418530,3111274625.37,123304,0.0082,0.9921976328,386174478730,386177772180,0.0174,14.3177,12.9312,1.0764,1,19.64
4,000001.XSHE,000001,平安银行,XSHE,2021-01-08,19.9,19.9,19.9,20.1,19.31,19.85,119547322,2348316363.18,95828,0.0062,0.9921976328,385204191095,385207476270,-0.0025,14.2818,12.8987,1.0737,1,19.643
5,000001.XSHE,000001,平安银行,XSHE,2021-01-11,19.85,19.85,20.0,20.64,20.0,20.38,179045714,3652546646.82,129019,0.0092,0.9921976328,395489240026,395492612916,0.0267,14.6631,13.2431,1.1024,1,20.4
6,000001.XSHE,000001,平安银行,XSHE,2021-01-12,20.38,20.38,20.39,21.0,20.18,21.0,128816550,2657687440.67,95928,0.0066,0.9921976328,407520806700,407524282200,0.0304,15.1092,13.646,1.1359,1,20.632
7,000001.XSHE,000001,平安银行,XSHE,2021-01-13,21.0,21.0,21.0,21.01,20.4,20.7,104911973,2161849708.04,91337,0.0054,0.9921976328,401699080890,401702506740,-0.0143,14.8933,13.4511,1.1197,1,20.606
8,000001.XSHE,000001,平安银行,XSHE,2021-01-14,20.7,20.7,20.68,20.89,19.95,20.17,113015562,2306404546.81,81738,0.0058,0.9921976328,391414031959,391417370094,-0.0256,14.512,13.1067,1.091,1,20.408
9,000001.XSHE,000001,平安银行,XSHE,2021-01-15,20.17,20.17,21.0,21.95,20.82,21.0,248068898,5311218074.76,143343,0.0128,0.9921976328,407520806700,407524282200,0.0412,15.1092,13.646,1.1359,1,21.41
10,000001.XSHE,000001,平安银行,XSHE,2021-01-18,21.0,21.0,21.2,22.78,21.2,22.7,215730178,4792909447.95,147822,0.0111,0.9921976328,440510586290,440514343140,0.081,16.3323,14.7507,1.2278,1,22.217
11,000001.XSHE,000001,平安银行,XSHE,2021-01-19,22.7,22.7,22.51,22.84,22.05,22.34,124208834,2790056611.29,109282,0.0064,0.9921976328,433524515318,433528212588,-0.0159,16.0733,14.5167,1.2084,1,22.463
12,000001.XSHE,000001,平安银行,XSHE,2021-01-20,22.34,22.34,22.15,22.97,22.12,22.47,128079316,2889249850.45,95453,0.0066,0.9921976328,436047263169,436050981954,0.0058,16.1668,14.6012,1.2154,1,22.558
13,000001.XSHE,000001,平安银行,XSHE,2021-01-21,22.47,22.47,22.5,22.8,22.15,22.23,94477860,2114252731.64,89980,0.0049,0.9921976328,431389882521,431393561586,-0.0107,15.9941,14.4453,1.2024,1,22.378
14,000001.XSHE,000001,平安银行,XSHE,2021-01-22,22.23,22.23,22.23,22.23,21.51,22.03,92443442,2025834761.54,89155,0.0048,0.9921976328,427508731981,427512377946,-0.009,15.8502,14.3153,1.1916,1,21.914
15,000001.XSHE,000001,平安银行,XSHE,2021-01-25,22.03,22.03,21.72,22.6,21.43,22.49,102836527,2269032820.67,82278,0.0053,0.9921976328,436435378223,436439100318,0.0209,16.1812,14.6142,1.2165,1,22.064
16,000001.XSHE,000001,平安银行,XSHE,2021-01-26,22.49,22.49,22.3,23.32,22.3,22.37,112672055,2558575511.97,93504,0.0058,0.9921976328,434106687899,434110390134,-0.0053,16.0949,14.5362,1.21,1,22.708
17,000001.XSHE,000001,平安银行,XSHE,2021-01-27,22.37,22.37,22.31,23.47,22.31,23.08,129415272,2976800955.73,104586,0.0067,0.9921976328,447884772316,447888592056,0.0317,15.4829,15.4829,1.23,1,23.002
18,000001.XSHE,000001,平安银行,XSHE,2021-01-28,23.08,23.08,22.78,23.18,22.45,22.81,85747696,1948881146.95,80494,0.0044,0.9921976328,442645219087,442648994142,-0.0117,15.3017,15.3017,1.2156,1,22.728
